,"S4","S8","S9","S12","S13","S14","S15","S18","S19","S23","S24","R40","R42"
"Aphr_acul",0,0,2,3,2,2,5,0,2,0,3,0,0
"Luna_mont",0,0,1,1,1,2,6,0,2,1,3,1,0
"Phax_pell",0,1,0,0,2,3,2,0,0,1,3,6,0
"Para_gaud",0,0,1,1,0,0,0,0,3,1,2,6,4
"Ophi_sp_",1,2,2,0,0,4,2,0,1,2,1,1,1
"Pogo_inde",0,3,0,3,1,2,1,3,3,0,1,0,0
"Poly_caec",1,3,1,2,1,2,0,4,0,0,0,0,2
"Nema_inde",5,0,1,1,1,1,3,1,0,0,1,0,1
"Plat_inde",1,1,1,1,0,1,1,2,1,0,3,1,1
"Hemi_sp_",1,2,4,2,0,2,0,1,1,0,0,1,0
"Hipp_dent",3,0,1,0,0,1,0,0,0,3,2,2,2
"Ophi_affi",2,0,1,1,2,1,1,0,1,1,3,0,0
"Asta_mont",0,0,0,2,1,2,1,0,4,1,2,0,0
"Ophi_inde",0,0,0,1,6,0,0,0,3,2,1,0,0
"Ceri_lloy",2,0,5,1,0,0,0,1,0,0,0,1,2
"Lumb_sp_",0,0,1,1,2,3,1,0,1,2,0,0,0
"Phol_pall",0,3,2,3,0,0,0,2,1,0,0,0,0
"Echi_sp_",0,0,0,0,0,0,0,0,0,0,7,2,2
"Euli_acic",1,1,2,0,1,1,2,0,1,1,0,0,0
"Cirr_cirr",0,2,0,1,1,0,0,2,0,0,0,1,3
"Ecly_vane",0,2,1,3,2,0,0,2,0,0,0,0,0
"Astr_irre",0,1,0,0,0,1,0,1,0,0,1,2,3
"Jass_marm",4,0,3,0,0,0,0,0,0,0,2,0,0
"Lumb_frag",0,0,0,1,1,3,0,1,0,0,1,0,1
"Eudo_trun",0,4,0,0,0,1,2,0,0,1,0,0,0
"Gast_inde",1,1,1,0,0,3,1,0,0,0,0,0,0
"Labi_busk",1,2,0,0,2,0,1,0,0,1,0,0,0
"Gari_cf_",0,0,2,0,0,0,0,0,1,0,2,2,0
"Gari_ferv",1,2,0,2,0,0,0,0,0,0,0,2,0
"Argi_hama",1,0,1,0,0,1,0,0,0,0,2,1,0
"Mugg_wahr",0,0,0,2,0,2,0,1,1,0,0,0,0
"Spis_cf_",1,0,1,0,0,2,0,0,0,0,2,0,0
"Anta_enta",0,1,1,1,0,0,0,0,0,0,0,2,0
"Neph_caec",0,0,0,1,0,0,1,0,1,0,0,0,1
"Tryp_long",0,0,0,0,0,0,0,1,1,1,1,0,0
"Acan_echi",0,0,0,0,0,1,1,0,0,0,1,0,1
"Chon_dune",0,1,1,1,0,0,0,0,0,0,0,1,0
"Serp_inde",0,0,0,0,1,0,1,0,0,1,0,1,0
"Sync_inte",0,0,0,1,0,0,1,0,0,0,0,1,1
"Pele_inde",0,0,0,0,0,1,1,0,0,0,1,0,1
"Aoni_pauc",0,0,0,2,0,0,0,0,0,0,0,1,1
"Aric_simo",0,0,1,0,2,1,0,0,0,0,0,0,0
"Samy_sexc",0,2,1,0,0,1,0,0,0,0,0,0,0
"Falc_cros",1,0,2,0,0,0,0,0,0,1,0,0,0
"Epit_trev",0,0,1,0,2,0,0,0,0,1,0,0,0
"Ophi_flex",0,1,1,0,0,0,0,1,0,0,0,0,0
"Eucl_sp_",0,0,0,0,1,0,0,1,1,0,0,0,0
"Scal_infl",0,1,0,0,0,1,0,0,0,0,0,0,1
"Eumi_ocke",0,0,1,0,0,1,1,0,0,0,0,0,0
"Modi_modi",0,0,0,1,1,0,0,1,0,0,0,0,0
